incident_id,equipment_id,equipment_type,root_cause,failure_cycle,onset_cycle,failure_date,action_taken,temperature_mean,vibration_mean,pressure_mean,current_mean,rpm_mean,temperature_std,vibration_std,pressure_std,current_std,rpm_std
INC-001,HIST-001,Pump,bearing_wear,192,107,2024-02-17,Schedule bearing inspection within 48 hours,84.1389870328187,6.002515489028667,99.90356563317775,40.50688340067042,1498.3329786383058,2.6724519496974883,0.4475953263389626,2.393658403289678,1.5697464646735173,21.429010826418107
INC-002,HIST-002,Compressor,lubrication_breakdown,288,188,2024-03-12,Perform lubrication check and top-up immediately,87.67541985659052,3.5895512891446635,100.03934125816207,39.84559869670712,1502.4907878988163,4.262789871713968,0.402631609216187,2.427680378542692,1.7220136722352217,18.44352911303287
INC-003,HIST-003,Motor,seal_leak,313,162,2024-03-19,Inspect seals and gaskets for visible leakage,64.95226283793947,3.900797068578663,69.57804137952499,40.21939658735547,1499.8365806922718,1.9755845174649458,0.3485422401257728,4.236696026855035,1.3843623168037067,15.86958592879865
INC-004,HIST-004,Turbine,blockage,270,184,2024-03-08,Inspect and clear intake/outlet lines for obstruction,65.11932076717935,2.171460645564276,130.89590852207982,50.86819853181327,1498.2998088447118,1.9019089792836232,0.3582099175356327,6.457936900748453,2.7061910467660177,13.88257468412822
INC-005,HIST-005,Conveyor,electrical_overload,303,181,2024-03-16,De-rate load or inspect motor drive/electrical supply now,65.94104505486352,2.301066848912993,101.16200605515523,57.61394860886124,1484.8162188772849,1.6244006631147885,0.2752861381799545,3.3116811421516483,2.405199655694892,72.00027043325846
INC-006,HIST-006,Pump,misalignment,248,134,2024-03-02,Perform shaft alignment check,64.74590542694052,3.2448404178663828,99.61693681363056,40.05734261611249,1498.2432976511143,1.8680994080700544,1.954531875000889,2.653083591787442,1.7343447851311846,35.681992733979826
INC-007,HIST-007,Compressor,bearing_wear,278,151,2024-03-10,Schedule bearing inspection within 48 hours,82.87999721334675,5.966602326822535,100.62834149088273,40.12749930072614,1499.8349005185223,3.4175414498712935,0.4690838189240048,2.3326816224303046,1.2576313274539024,14.464321142267531
INC-008,HIST-008,Motor,lubrication_breakdown,221,151,2024-02-25,Perform lubrication check and top-up immediately,85.92723596611792,3.6425064649418317,100.5691183210684,40.32964880289319,1501.7201074613754,4.211143835664752,0.4846317501469493,3.00517663491744,1.6501046136812825,11.68947481774299
INC-009,HIST-009,Turbine,seal_leak,284,149,2024-03-11,Inspect seals and gaskets for visible leakage,65.2123230391153,3.9738967964874696,69.71628150409325,40.16649031378969,1503.0971313419993,2.0744430487493393,0.41643010176039835,3.8352855414012774,1.7658730192908274,17.256828239396917
INC-010,HIST-010,Conveyor,blockage,269,135,2024-03-08,Inspect and clear intake/outlet lines for obstruction,65.69586158197008,2.1613678455385292,133.44275557285843,52.00838355245939,1502.3106645184876,1.6564864947752014,0.29288653777852663,4.649372299497784,1.4322016205836898,14.217856684777725
INC-011,HIST-011,Pump,electrical_overload,262,143,2024-03-06,De-rate load or inspect motor drive/electrical supply now,65.00849230060258,2.17191662450652,101.03373983649924,58.89706277923294,1507.6621934785676,2.0287927509174897,0.2930236071186977,3.131924831309262,2.8429204986770857,68.27735980202432
INC-012,HIST-012,Compressor,misalignment,222,114,2024-02-25,Perform shaft alignment check,64.84123257028494,4.021052082731945,100.03461683919592,39.97733651801355,1506.679894075739,1.8654824309799733,2.4480266664451724,3.197760472113848,1.5445492594147923,25.941926474761722
INC-013,HIST-013,Motor,bearing_wear,193,104,2024-02-18,Schedule bearing inspection within 48 hours,83.52158098433442,5.931559478917357,99.89620665428245,40.16500969989005,1506.6585720089897,2.620922593007402,0.5357624891548358,2.9723178744387777,1.7165868167762681,17.06911256061737
INC-014,HIST-014,Turbine,lubrication_breakdown,202,120,2024-02-20,Perform lubrication check and top-up immediately,88.56509943648845,3.6368506290869673,100.09514096933897,39.81207963143764,1504.4034276941445,3.6646510257450684,0.3988018324613545,2.7716719205573637,1.784916756685681,13.184643430984245
INC-015,HIST-015,Conveyor,seal_leak,183,125,2024-02-15,Inspect seals and gaskets for visible leakage,64.70990462189978,3.8957194858384647,74.45788503660214,39.75841035774836,1500.8563265288244,2.71254105748248,0.5078636733885135,6.407099591114484,1.6275773953002115,15.383382571578725
INC-016,HIST-016,Pump,blockage,304,165,2024-03-16,Inspect and clear intake/outlet lines for obstruction,64.78776294938535,2.2514274542576715,133.22591875454603,52.32144456144568,1504.2961285139122,1.9438391848431769,0.33141413394919994,4.128330032485158,1.7449436672736165,13.252770597518133
INC-017,HIST-017,Compressor,electrical_overload,272,126,2024-03-08,De-rate load or inspect motor drive/electrical supply now,64.70226148955125,2.1713873017887924,101.00096532069975,58.789807987515765,1499.849512996461,1.7311448863582604,0.315756700629338,3.513040879575484,2.7177168569370758,83.09145956554718
INC-018,HIST-018,Motor,misalignment,226,117,2024-02-26,Perform shaft alignment check,65.69001225664653,2.398018561242451,99.92840921174137,40.275415816781816,1501.8572050590976,1.9526651365336414,1.2271056767971606,2.8040376000457696,1.5393440338880726,35.798463720863346
INC-019,HIST-019,Turbine,bearing_wear,312,166,2024-03-18,Schedule bearing inspection within 48 hours,83.59806512393992,6.032802108225127,100.23444857082845,39.92195672611564,1496.082408428292,2.7937939874150377,0.4306892844227004,3.1752454912275754,1.3702462350533495,13.969895080255613
INC-020,HIST-020,Conveyor,lubrication_breakdown,276,159,2024-03-09,Perform lubrication check and top-up immediately,88.70665135146076,3.6920017934655114,99.39708806619832,39.36953772875066,1499.34887273213,2.6549356479028914,0.4172823542523853,2.565357991683282,1.617097527224439,13.908570567801256
INC-021,HIST-021,Pump,seal_leak,270,174,2024-03-08,Inspect seals and gaskets for visible leakage,64.64919635044028,3.888537756501156,71.82144549851192,40.27632130487367,1496.1762559527417,1.6027778911673218,0.43505086875409577,5.6496123838061445,1.4240644512337122,14.680245387688753
INC-022,HIST-022,Compressor,blockage,239,115,2024-02-29,Inspect and clear intake/outlet lines for obstruction,65.67999139097503,2.1695470237854555,134.70716441972988,52.382466519777196,1496.7031452689748,2.289228074671075,0.2746488649860128,4.11718377545555,2.3625216836896037,10.651654618520656
INC-023,HIST-023,Motor,electrical_overload,212,116,2024-02-22,De-rate load or inspect motor drive/electrical supply now,65.03320446592616,2.2184049134835844,99.3931654139048,58.22298099135024,1503.3500899822498,1.9968822549603682,0.20106107774732726,2.7891032616305282,2.2820879302663077,55.74831585621511
INC-024,HIST-024,Turbine,misalignment,261,135,2024-03-06,Perform shaft alignment check,65.16847757662639,4.200593699471553,99.53017915317352,39.961946292217505,1507.8931541246461,2.0005467029496806,3.0051664084787886,3.553381971962675,1.5275011213434833,29.917014913914954
